OTU	Size	full_tax	Phylum_order 	Phylum	Class	Order	Family	Genus
Otu4318	2	Bacteria100;Acidobacteria100;Acidobacteria_Gp2100;Gp2100;Gp2_unclassified100;Gp2_unclassified100;	07_Acidobacteria	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified
Otu8365	1	Bacteria100;Acidobacteria100;Acidobacteria_Gp3100;Gp3100;Gp3_unclassified100;Gp3_unclassified100;	07_Acidobacteria	Acidobacteria	Acidobacteria_Gp3	Gp3	Gp3_unclassified	Gp3_unclassified
Otu8369	1	Bacteria100;Acidobacteria100;Acidobacteria_Gp4100;Gp4100;Gp4_unclassified100;Gp4_unclassified100;	07_Acidobacteria	Acidobacteria	Acidobacteria_Gp4	Gp4	Gp4_unclassified	Gp4_unclassified
Otu0014	63442	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu0028	29546	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu0186	2074	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu0205	1661	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu0232	1134	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu0266	841	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu0281	708	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Coriobacteriaceae_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae_unclassified
